team1,team2,possession team1,possession team2,possession in contest,goals team1,goals team2,date,hour,category,attempts team1,attempts team2,total attempts,scored team1,scored team2,total goals,Shot Conversion team1,Shot Conversion team2,goal inside the penalty area team1,goal inside the penalty area team2,total goals inside penalty area,goal outside the penalty area team1,goal outside the penalty area team2,total goals outside penalty area,assists team1,assists team2,on target attempts team1,on target attempts team2,off target attempts team1,off target attempts team2,attempts inside the penalty area team1,attempts inside the penalty area  team2,total attempts inside penalty area,attempts outside the penalty area team1,attempts outside the penalty area team2,total attempts outside penalty area,yellow cards team1,yellow cards team2,total yellow cards,red cards team1,red cards team2,total red cards,fouls by team1,fouls by team2,total fouls,offsides team1,offsides team2,total offsides,passes team1,passes team2,total passes,passes completed team1,passes completed team2,crosses team1,crosses team2,total crosses,crosses completed team1,crosses completed team2,corners team1,corners team2,total corners,free kicks team1,free kicks team2,total free kicks,penalties scored team1,penalties scored team2,total penalties scored,goal preventions team1,goal preventions team2,own goals team1,own goals team2,total own goals
TUNISIA,FRANCE,30%,56%,14%,1,0,30-11-2022,16:00:00,Group Stage,5,9,14,1,0,1,20%,0%,0,0,0,1,0,1,1,0,3,3,2,4,2,4,6,3,5,8,1,0,1,0,0,0,6,14,20,3,2,5,328,636,964,266,566,27,20,47,4,5,7,8,15,8,17,25,0,0,0,11,6,0,0,0
POLAND,ARGENTINA,24%,67%,9%,0,2,30-11-2022,20:00:00,Group Stage,4,25,29,0,2,2,0%,8%,0,2,2,0,0,0,0,2,0,13,2,8,2,21,23,2,4,6,1,1,2,0,0,0,11,6,17,0,0,0,321,862,1183,261,814,5,22,27,2,5,1,9,10,12,5,17,0,0,0,25,4,0,0,0
SAUDI ARABIA,MEXICO,29%,55%,17%,1,2,30-11-2022,20:00:00,Group Stage,10,25,35,1,2,3,10%,8%,1,1,2,0,1,1,1,1,2,10,8,8,6,10,16,4,15,19,6,1,7,0,0,0,18,20,38,2,6,8,297,412,709,197,336,9,34,43,2,6,1,8,9,23,22,45,0,0,0,26,10,0,0,0
CROATIA,BELGIUM,43%,47%,10%,0,0,01-12-2022,16:00:00,Group Stage,11,15,26,0,0,0,0%,0%,0,0,0,0,0,0,0,0,4,4,5,7,7,12,19,4,3,7,0,1,1,0,0,0,9,7,16,4,0,4,578,596,1174,504,531,24,24,48,6,8,2,4,6,9,11,20,0,0,0,16,11,0,0,0
CANADA,MOROCCO,52%,36%,12%,1,2,01-12-2022,16:00:00,Group Stage,5,7,12,1,2,3,20%,29%,0,1,1,0,1,1,0,1,0,2,4,2,4,4,8,1,3,4,4,0,4,0,0,0,14,14,28,4,4,8,539,384,923,472,308,20,7,27,4,1,6,2,8,18,18,36,0,0,0,7,7,0,1,1
JAPAN,SPAIN,14%,78%,8%,2,1,01-12-2022,20:00:00,Group Stage,6,14,20,2,1,3,33%,7%,1,1,2,1,0,1,2,1,3,5,2,3,4,7,11,2,7,9,3,0,3,0,0,0,6,9,15,2,2,4,225,1070,1295,167,992,6,20,26,3,2,0,2,2,8,11,19,0,0,0,14,6,0,0,0
COSTA RICA,GERMANY,27%,60%,13%,2,4,01-12-2022,20:00:00,Group Stage,8,32,40,2,4,6,25%,13%,2,4,6,0,0,0,0,4,6,11,1,17,6,24,30,2,8,10,1,0,1,0,0,0,9,3,12,4,3,7,347,727,1074,269,661,12,38,50,3,12,1,14,15,12,7,19,0,0,0,32,8,0,0,0
GHANA,URUGUAY,46%,39%,15%,0,2,02-12-2022,16:00:00,Group Stage,9,12,21,0,2,2,0%,17%,0,2,2,0,0,0,0,1,4,7,4,5,4,7,11,5,5,10,2,5,7,0,0,0,11,18,29,2,2,4,460,446,906,377,361,20,15,35,2,4,5,2,7,12,20,32,0,0,0,12,9,0,0,0
KOREA REPUBLIC,PORTUGAL,34%,55%,11%,2,1,02-12-2022,16:00:00,Group Stage,12,12,24,2,1,3,17%,8%,2,1,3,0,0,0,1,1,6,4,4,6,6,5,11,6,7,13,2,0,2,0,0,0,11,9,20,1,5,6,359,606,965,304,541,13,22,35,3,6,5,4,9,15,10,25,0,0,0,14,12,0,0,0
SERBIA,SWITZERLAND,45%,41%,14%,2,3,02-12-2022,20:00:00,Group Stage,11,14,25,2,3,5,18%,21%,2,3,5,0,0,0,1,3,4,7,6,3,10,10,20,1,4,5,7,4,11,0,0,0,13,18,31,0,0,0,476,403,879,390,325,23,13,36,6,4,2,0,2,14,18,32,0,0,0,14,10,0,0,0
